Batch_ID,Formula_Type,Mixing_Temperature,Viscosity_cP,pH,Stability_Days
BATCH_001,Surfactant_Boosted,High_60C,2415.35,6.94,11
BATCH_002,Standard,Low_35C,2500.59,6.57,13
BATCH_003,Surfactant_Boosted,Low_35C,2013.79,6.84,17
BATCH_004,Surfactant_Boosted,High_60C,2398.89,7.12,10
BATCH_005,Standard,High_60C,2683.7,6.72,8
BATCH_006,Standard,High_60C,3007.6,6.81,13
BATCH_007,Surfactant_Boosted,Low_35C,1967.9,6.91,15
BATCH_008,Organic_Polymer,Low_35C,3438.47,6.46,21
BATCH_009,Surfactant_Boosted,Low_35C,2101.37,6.85,17
BATCH_010,Surfactant_Boosted,Low_35C,1916.57,6.98,14
BATCH_011,Surfactant_Boosted,Low_35C,2193.08,6.88,15
BATCH_012,Surfactant_Boosted,Low_35C,1967.17,6.85,17
BATCH_013,Standard,High_60C,2956.58,6.68,13
BATCH_014,Surfactant_Boosted,Low_35C,2480.87,6.85,16
BATCH_015,Organic_Polymer,Low_35C,3083.99,6.38,22
BATCH_016,Standard,Low_35C,2369.93,6.59,16
BATCH_017,Organic_Polymer,High_60C,3633.94,6.43,15
BATCH_018,Organic_Polymer,Low_35C,3117.47,6.36,22
BATCH_019,Organic_Polymer,Low_35C,3410.18,6.06,17
BATCH_020,Organic_Polymer,High_60C,3430.44,6.42,18
BATCH_021,Standard,Low_35C,2563.67,6.64,12
BATCH_022,Standard,Low_35C,2521.88,6.29,12
BATCH_023,Organic_Polymer,Low_35C,3431.8,6.16,21
BATCH_024,Organic_Polymer,Low_35C,3380.69,6.61,19
BATCH_025,Standard,Low_35C,2289.04,6.49,12
BATCH_026,Standard,High_60C,2946.58,6.61,10
BATCH_027,Standard,High_60C,2781.38,6.71,9
BATCH_028,Surfactant_Boosted,High_60C,2516.56,7.16,11
BATCH_029,Surfactant_Boosted,Low_35C,1961.09,6.82,17
BATCH_030,Surfactant_Boosted,Low_35C,2113.87,6.99,20
BATCH_031,Organic_Polymer,Low_35C,3334.64,6.08,21
BATCH_032,Surfactant_Boosted,High_60C,2407.7,7.13,14
BATCH_033,Organic_Polymer,Low_35C,3156.15,6.41,21
BATCH_034,Organic_Polymer,Low_35C,3209.41,6.25,20
BATCH_035,Surfactant_Boosted,High_60C,2403.59,7.13,15
BATCH_036,Organic_Polymer,Low_35C,3301.1,6.4,21
BATCH_037,Surfactant_Boosted,High_60C,2434.84,7.03,10
BATCH_038,Surfactant_Boosted,High_60C,2174.88,7.02,10
BATCH_039,Standard,High_60C,2794.05,6.52,6
BATCH_040,Surfactant_Boosted,Low_35C,2153.6,6.84,16
BATCH_041,Standard,Low_35C,2366.03,6.45,17
BATCH_042,Surfactant_Boosted,Low_35C,2119.28,6.98,13
BATCH_043,Surfactant_Boosted,Low_35C,2458.36,7.18,19
BATCH_044,Standard,Low_35C,2624.31,6.5,15
BATCH_045,Standard,Low_35C,2657.2,6.41,13
BATCH_046,Surfactant_Boosted,Low_35C,1849.63,6.78,19
BATCH_047,Organic_Polymer,High_60C,3549.86,6.25,16
BATCH_048,Standard,Low_35C,2258.17,6.64,17
BATCH_049,Organic_Polymer,High_60C,3656.59,6.55,12
BATCH_050,Organic_Polymer,Low_35C,3576.56,6.09,16
BATCH_051,Organic_Polymer,Low_35C,3264.39,6.48,19
BATCH_052,Standard,Low_35C,2360.11,6.31,14
BATCH_053,Organic_Polymer,High_60C,3300.76,6.1,18
BATCH_054,Standard,High_60C,2998.49,6.58,9
BATCH_055,Organic_Polymer,High_60C,3608.78,6.65,16
BATCH_056,Surfactant_Boosted,High_60C,2536.46,6.97,12
BATCH_057,Surfactant_Boosted,Low_35C,2197.07,6.92,12
BATCH_058,Standard,High_60C,2992.08,6.51,14
BATCH_059,Surfactant_Boosted,Low_35C,2203.03,6.91,17
BATCH_060,Surfactant_Boosted,Low_35C,2083.73,6.83,16
BATCH_061,Organic_Polymer,High_60C,3732.75,6.23,14
BATCH_062,Standard,High_60C,2746.68,6.74,13
BATCH_063,Organic_Polymer,High_60C,3654.3,6.39,14
BATCH_064,Organic_Polymer,High_60C,3731.51,6.38,14
BATCH_065,Organic_Polymer,High_60C,3331.85,6.12,14
BATCH_066,Organic_Polymer,High_60C,3774.29,6.53,14
BATCH_067,Organic_Polymer,High_60C,3538.81,6.34,15
BATCH_068,Organic_Polymer,High_60C,3739.64,6.22,17
BATCH_069,Organic_Polymer,Low_35C,3264.12,6.33,18
BATCH_070,Standard,High_60C,2708.04,6.89,12
